full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,75376,75376,12165,6,6,0,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,50322,50322,8154,76,76,15,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9638,9638,14634,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1761,1761,2599,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53030,53030,4629,6,6,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65187,65187,6490,7,7,1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30412,30412,3434,0,0,0,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,36892,36892,3095,1,1,0,https://github.com/musistudio/claude-code-router
Donchitos/Claude-Code-Game-Studios,24568,24568,3510,3,3,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24658,24658,2859,3,3,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3286,3286,3817,1,1,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8729,8729,2094,2,2,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3528,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12463,12463,2039,1,1,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3853,3853,2050,0,0,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1533,1533,2980,1,1,0,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,9946,9946,801,1,1,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10009,10009,1229,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9611,9611,721,0,0,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2810,2810,2454,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,791,791,1757,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4142,4142,816,0,0,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15292,15292,1340,1,1,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6029,6029,568,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5820,5820,762,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,625,625,1306,0,0,0,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3240,3240,619,1,1,0,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3887,3887,565,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6093,6093,660,4,4,1,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2555,2555,912,0,0,0,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4592,4592,463,0,0,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3736,3736,488,0,0,0,https://github.com/1rgs/claude-code-proxy
Windy3f3f3f3f/how-claude-code-works,3529,3529,695,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
zstmfhy/Claude-code,190,190,283,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8657,8657,457,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1665,1665,644,-1,-1,0,https://github.com/lorryjovens-hub/claude-code-rust
alejandrobalderas/claude-code-from-source,2773,2773,755,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
disler/claude-code-hooks-mastery,3905,3905,639,0,0,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,927,927,1091,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3333,3333,387,0,0,0,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2767,2767,414,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
fazxes/Claude-code,232,232,217,0,0,0,https://github.com/fazxes/Claude-code
fuergaosi233/claude-code-proxy,2778,2778,410,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Yuyz0112/claude-code-reverse,2428,2428,414,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5228,5228,199,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3454,3454,339,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2607,2607,534,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2865,2865,318,1,1,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1682,1682,572,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3072,3072,301,0,0,0,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,544,544,830,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
asgeirtj/system_prompts_leaks,63617,63617,10419,5,5,1,https://github.com/asgeirtj/system_prompts_leaks
